Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
1st Constitution Bancorp,FCCY,21.10,21.10,21.05,21.10,...,...,"24,593",22.52,16.15,0.24,1.14,22.45,15.30
1st Source,SRCE,54.05,54.05,53.00,53.32,-0.47,-0.87,"50,115",54.65,44.33,0.96,1.80,19.60,7.83
2U,TWOU,94.73,96.07,93.03,95.68,1.39,1.47,"338,938",98.58,41.67,...,...,...,48.32
8Point3 Energy Partners,CAFD,12.06,12.20,12.06,12.15,0.05,0.41,"74,254",15.92,11.69,1.12,9.22,16.64,-20.12
21st Century Fox Cl A,FOXA,37.67,37.84,37.50,37.66,-0.11,-0.29,"6,943,130",39.35,24.81,0.36,0.96,17.35,9.06
21st Century Fox Cl B,FOX,37.41,37.41,37.09,37.27,-0.01,-0.03,"2,603,325",38.71,24.30,0.36,0.97,17.18,9.23
21Vianet Group ADR,VNET,6.70,7.35,6.58,6.70,-0.31,-4.42,"1,260,525",9.59,4.17,...,...,...,-16.04
51job ADR,JOBS,104.91,106.60,102.13,102.63,-1.90,-1.82,"438,461",106.60,42.57,...,...,...,68.66
1347 Property Insurance Holdings,PIH,7.70,7.75,7.30,7.60,-0.10,-1.30,"29,016",8.50,6.55,...,...,23.75,4.83
1-800-FLOWERS.COM Cl A,FLWS,12.30,12.63,12.30,12.40,...,...,"275,338",13.32,7.80,...,...,14.59,15.89
AAON,AAON,31.30,32.15,31.20,31.55,0.50,1.61,"347,198",40.25,29.05,0.26,0.82,34.29,-14.03
Abaxis,ABAX,83.68,83.98,83.11,83.32,-0.40,-0.48,"515,484",83.98,43.66,0.72,0.86,70.61,68.26
Abiomed,ABMD,381.15,388.75,380.02,384.36,4.42,1.16,"871,143",388.75,132.63,...,...,156.88,105.09
Ablynx ADR,ABLX,52.98,52.99,52.79,52.80,-0.10,-0.19,"6,327",55.29,17.75,...,...,...,111.28
Acacia Communications,ACIA,32.58,33.59,32.49,33.00,0.45,1.38,"749,094",50.10,24.72,...,...,...,-8.92
Acacia Research - Acacia Technologies,ACTG,3.95,3.98,3.85,3.90,...,...,"268,117",5.50,2.90,0.50,12.82,85.15,-3.70
Acadia Healthcare,ACHC,42.02,42.37,41.70,42.18,0.13,0.31,"881,603",54.34,26.92,...,...,17.08,29.27
ACADIA Pharmaceuticals,ACAD,18.04,18.33,17.86,18.00,-0.13,-0.72,"1,704,336",41.20,14.51,...,...,...,-40.22
Acceleron Pharma,XLRN,34.96,36.06,34.92,35.74,1.04,3.00,"496,437",46.93,24.37,...,...,...,-15.79
Access National,ANCX,28.01,28.12,27.78,27.79,-0.13,-0.47,"44,261",30.99,24.36,0.60,2.16,25.97,-0.18
Accuray,ARAY,4.95,5.10,4.85,5.00,0.10,2.04,"494,404",6.15,3.60,...,...,...,16.28
AcelRx Pharmaceuticals,ACRX,3.00,3.00,2.85,2.95,-0.05,-1.67,"670,836",5.75,1.55,...,...,...,45.68
Aceto,ACET,2.78,2.82,2.72,2.78,0.02,0.72,"363,101",17.10,2.22,0.04,1.44,...,-73.09
Achaogen,AKAO,12.51,12.79,12.26,12.45,-0.04,-0.32,"704,656",26.50,9.83,...,...,...,15.92
Achillion Pharmaceuticals,ACHN,3.61,3.74,3.57,3.70,0.11,3.06,"1,131,713",5.66,2.58,...,...,...,28.47
AC Immune,ACIU,9.93,10.46,9.80,10.45,0.43,4.25,"27,898",13.91,6.03,...,...,...,-18.36
ACI Worldwide,ACIW,23.94,24.08,23.78,23.89,0.04,0.17,"957,528",26.37,20.23,...,...,...,5.38
Aclaris Therapeutics,ACRS,19.77,20.12,19.49,20.03,0.39,1.99,"187,080",30.08,16.01,...,...,...,-18.78
ACM Research Cl A,ACMR,11.36,11.39,11.14,11.31,-0.09,-0.79,"22,980",15.60,4.74,...,...,...,115.43
Acorda Therapeutics,ACOR,24.20,24.20,23.45,23.70,-0.45,-1.86,"346,236",29.60,13.60,...,...,...,10.49
Activision Blizzard,ATVI,71.52,72.14,71.05,71.99,0.33,0.46,"5,565,241",79.63,54.94,0.34,0.47,163.09,13.69
Acxiom,ACXM,27.66,28.24,27.50,27.99,0.49,1.78,"930,108",32.93,18.60,...,...,99.96,1.56
Adamas Pharmaceuticals,ADMS,32.72,32.90,31.24,31.88,-0.79,-2.42,"564,619",44.00,13.50,...,...,...,-5.93
Adaptimmune Therapeutics ADR,ADAP,11.90,12.50,11.85,12.15,0.13,1.08,"325,764",14.63,4.28,...,...,...,81.89
Addus HomeCare,ADUS,53.30,53.30,52.80,52.90,-0.10,-0.19,"121,548",55.75,30.95,...,...,43.36,52.01
ADDvantage Technologies Group,AEY,1.29,1.30,1.29,1.30,0.01,0.71,"4,251",2.33,1.21,...,...,...,-11.68
Adobe Systems,ADBE,236.24,239.28,235.26,238.09,1.24,0.52,"1,607,713",243.34,131.20,...,...,63.32,35.87
Adtran,ADTN,14.80,14.90,14.65,14.85,0.10,0.68,"200,196",25.10,14.30,0.36,2.42,106.07,-23.26
Aduro Biotech,ADRO,8.15,8.25,7.80,7.95,-0.15,-1.85,"260,610",14.05,5.83,...,...,...,6.00
Advanced Emissions Solutions,ADES,11.88,11.89,11.53,11.66,-0.18,-1.52,"217,545",12.20,7.00,1.00,8.58,9.18,20.70
Advanced Energy Industries,AEIS,65.45,65.47,62.66,63.65,-2.49,-3.76,"455,052",95.00,57.35,...,...,17.49,-5.68
Advaxis,ADXS,1.80,1.87,1.78,1.87,0.10,5.65,"484,301",9.55,1.51,...,...,...,-34.15
Adverum Biotechnologies,ADVM,6.10,6.35,5.97,6.10,0.10,1.67,"887,039",8.59,2.40,...,...,...,74.29
Aegion,AEGN,25.50,25.69,25.17,25.61,0.20,0.79,"116,385",28.19,19.11,...,...,...,0.71
Aeglea BioTherapeutics,AGLE,10.66,10.99,10.53,10.57,-0.11,-1.03,"114,954",11.35,2.81,...,...,...,95.38
Aemetis,AMTX,1.72,1.80,1.61,1.75,0.04,2.63,"64,974",3.12,0.45,...,...,...,219.09
Aerie Pharmaceuticals,AERI,51.30,51.98,51.00,51.15,...,...,"292,164",66.60,39.55,...,...,...,-14.39
AeroVironment,AVAV,55.58,56.16,54.61,56.09,0.29,0.52,"387,472",62.20,30.05,...,...,41.24,-0.12
Aevi Genomic Medicine,GNMX,1.61,1.72,1.58,1.66,0.04,2.47,"51,529",2.65,0.98,...,...,...,38.33
Affimed,AFMD,2.45,2.65,2.40,2.50,0.08,3.09,"1,099,031",2.85,1.15,...,...,...,92.31
Agile Therapeutics,AGRX,1.02,1.02,0.58,0.69,-1.81,-72.40,"10,287,806",5.60,0.58,...,...,...,-74.35
Agilysys,AGYS,12.60,12.93,12.46,12.76,0.22,1.75,"38,653",13.00,9.32,...,...,...,3.91
Agios Pharmaceuticals,AGIO,85.81,87.16,85.30,86.99,0.98,1.14,"179,342",89.33,45.96,...,...,...,52.16
AGNC Investment,AGNC,18.88,18.94,18.82,18.89,0.05,0.27,"2,974,437",22.34,17.84,2.16,11.43,6.72,-6.44
AgroFresh Solutions,AGFS,7.11,7.13,7.01,7.05,-0.04,-0.56,"77,230",9.05,4.94,...,...,15.67,-4.73
AgroFresh Solutions WT,AGFSW,0.44,0.45,0.44,0.45,...,0.02,"6,200",1.25,0.13,...,...,...,9.76
Aileron Therapeutics,ALRN,5.29,5.31,5.08,5.19,-0.05,-0.95,"21,768",15.48,5.01,...,...,...,-50.76
Aimmune Therapeutics,AIMT,30.61,31.54,30.32,31.30,1.29,4.30,"820,969",42.00,15.97,...,...,...,-17.24
AirMedia Group ADR,AMCN,0.65,0.67,0.63,0.65,-0.02,-2.55,"216,134",2.87,0.61,...,...,...,-43.57
Air Transport Services Group,ATSG,21.61,21.89,21.33,21.38,-0.24,-1.11,"483,775",27.67,19.17,...,...,119.57,-7.61
Akamai Technologies,AKAM,75.84,76.00,75.11,75.34,-0.75,-0.99,"1,278,361",78.28,44.65,...,...,68.49,15.84
Akcea Therapeutics,AKCA,23.02,23.42,22.48,23.09,0.16,0.70,"451,981",33.99,8.10,...,...,...,33.01
Akebia Therapeutics,AKBA,10.52,10.70,10.49,10.65,0.15,1.43,"281,851",20.25,8.93,...,...,...,-28.38
Akorn,AKRX,14.16,14.19,13.81,13.98,-0.26,-1.83,"1,581,030",33.95,10.76,...,...,...,-56.62
Alarm.Com Holdings,ALRM,41.66,42.54,41.66,42.26,0.73,1.76,"295,048",49.49,31.28,...,...,57.89,11.95
Alaska Communications Systems Group,ALSK,1.71,1.74,1.71,1.72,...,...,"84,891",2.91,1.39,...,...,...,-35.82
Alder BioPharmaceuticals,ALDR,14.55,15.30,14.35,15.20,0.65,4.47,"968,473",20.00,8.60,...,...,...,32.75
Alexion Pharmaceuticals,ALXN,121.12,121.69,120.11,121.07,-0.08,-0.07,"957,648",149.34,96.18,...,...,52.19,1.24
Alico,ALCO,30.70,30.70,30.20,30.65,0.20,0.66,"6,775",34.80,25.55,0.24,0.78,...,3.90
Align Technology,ALGN,293.49,299.46,292.76,298.00,5.28,1.80,"836,844",299.46,136.26,...,...,94.30,34.12
Alimera Sciences,ALIM,0.78,0.83,0.74,0.77,-0.01,-1.40,"335,056",1.65,0.74,...,...,...,-42.09
ALJ Regional Holdings,ALJJ,1.95,1.99,1.92,1.99,0.03,1.53,"62,266",3.78,1.76,...,...,7.96,-36.83
Alkermes,ALKS,45.85,46.56,45.69,46.27,0.26,0.57,"712,656",71.22,41.15,...,...,...,-15.46
Allegiance Bancshares,ABTX,42.65,42.95,42.25,42.25,-0.20,-0.47,"22,126",43.25,31.75,...,...,29.55,12.22
Allegiant Travel,ALGT,159.90,162.00,159.53,161.60,0.85,0.53,"96,932",181.45,111.54,2.80,1.73,12.55,4.43
Allena Pharmaceuticals,ALNA,16.20,16.61,15.46,16.00,...,...,"91,667",17.56,6.13,...,...,...,59.05
Alliance Holdings GP,AHGP,26.38,26.38,25.91,26.21,0.07,0.27,"63,790",31.79,22.56,2.99,11.41,6.70,-2.16
Alliance Resource Partners,ARLP,17.90,18.10,17.90,18.05,0.15,0.84,"286,893",22.90,15.55,2.06,11.41,5.92,-8.38
Allied Motion Technologies,AMOT,47.97,48.74,47.35,47.54,-0.19,-0.40,"51,364",48.74,22.78,0.12,0.25,46.16,43.67
Allot Communications,ALLT,5.34,5.35,5.25,5.29,-0.06,-1.12,"6,177",6.09,4.74,...,...,...,-0.75
Allscripts Healthcare Solutions,MDRX,12.79,12.94,12.76,12.86,0.14,1.10,"1,682,421",16.13,10.78,...,...,...,-11.62
Alnylam Pharmaceuticals,ALNY,101.31,103.14,100.91,102.81,1.17,1.15,"688,651",153.99,62.96,...,...,...,-19.08
Alphabet Cl A,GOOGL,1066.00,1073.73,1064.68,1069.64,-11.62,-1.07,"1,591,215",1198.00,915.31,...,...,45.40,1.54
Alphabet Cl C,GOOG,1061.86,1069.94,1060.68,1066.36,-12.23,-1.13,"1,200,964",1186.89,894.79,...,...,45.26,1.91
Alpha&Omega Semiconductor,AOSL,14.93,15.28,14.87,15.09,0.18,1.21,"135,068",20.40,12.92,...,...,21.56,-7.76
Alphatec Holdings,ATEC,3.63,3.86,3.63,3.73,0.06,1.63,"97,059",4.27,1.58,...,...,...,40.23
Alpine Immune Sciences,ALPN,9.00,9.95,9.00,9.95,1.14,12.94,"38,823",12.87,6.85,...,...,...,-11.16
Altaba,AABA,76.44,77.06,75.86,75.93,-0.57,-0.75,"3,910,780",80.56,49.90,...,...,3.05,8.70
Altair Engineering Cl A,ALTR,35.98,37.19,35.82,35.84,-0.31,-0.87,"350,365",37.19,16.55,...,...,...,49.83
Altimmune,ALT,0.52,0.52,0.48,0.51,0.01,1.01,"1,189,237",4.85,0.48,...,...,...,-74.37
Altisource Portfolio Solutions,ASPS,29.18,29.37,28.75,29.29,0.30,1.03,"73,764",31.49,19.28,...,...,1.79,4.61
Altra Industrial Motion,AIMC,43.20,43.55,42.55,43.40,0.35,0.81,"65,895",53.70,38.80,0.68,1.57,25.09,-13.89
AMAG Pharmaceuticals,AMAG,24.75,24.93,24.38,24.65,...,...,"545,438",24.93,11.93,...,...,...,86.04
Amarin ADR,AMRN,3.25,3.35,3.24,3.27,0.01,0.31,"1,443,370",4.60,2.66,...,...,...,-18.45
A-Mark Precious Metals,AMRK,13.06,13.42,12.96,13.42,0.45,3.47,"2,044",18.83,10.39,0.32,2.38,111.83,-8.40
Amazon.com,AMZN,1581.33,1583.59,1572.10,1574.37,-7.39,-0.47,"2,271,037",1638.10,927.00,...,...,198.49,34.62
Ambac Financial Group,AMBC,19.10,19.21,18.79,18.84,-0.08,-0.42,"884,156",22.02,13.17,...,...,8.45,17.90
Ambac Financial Group WT,AMBCW,9.82,9.99,9.74,9.74,-0.31,-3.08,"5,950",12.50,5.04,...,...,...,69.69
Ambarella,AMBA,51.10,52.26,50.20,50.46,0.78,1.57,"1,662,924",66.23,40.06,...,...,91.75,-14.11
AMC Networks Cl A,AMCX,57.29,57.71,56.91,57.15,-0.17,-0.30,"381,098",67.44,46.89,...,...,7.36,5.68
Amdocs,DOX,65.55,65.83,65.29,65.34,-0.22,-0.34,"344,698",71.72,61.00,1.00,1.53,21.49,-0.21
Amedisys,AMED,74.70,75.53,74.30,74.60,0.18,0.24,"284,487",75.53,45.60,...,...,60.65,41.53
Amerco,UHAL,353.57,356.73,348.92,355.72,1.76,0.50,"32,219",400.99,326.30,...,...,8.83,-5.87
America First Multifamily Investors,ATAX,6.25,6.28,6.20,6.25,0.05,0.81,"67,807",6.50,5.75,0.50,8.00,14.53,3.31
American Airlines Group,AAL,43.56,43.76,43.03,43.38,-0.25,-0.57,"3,895,255",59.08,40.65,0.40,0.92,11.30,-16.63
American National Bankshares,AMNB,38.95,38.95,38.58,38.70,-0.10,-0.26,"8,091",42.99,34.60,1.00,2.58,19.85,1.04
American National Insurance,ANAT,120.64,121.80,119.67,121.37,0.67,0.56,"52,028",134.03,110.43,3.28,2.70,6.92,-5.36
American Outdoor Brands,AOBC,11.50,11.57,11.37,11.48,...,...,"650,527",24.49,8.32,...,...,15.73,-10.59
American Public Education,APEI,40.00,40.40,39.45,39.55,-0.25,-0.63,"99,631",45.75,17.40,...,...,30.66,57.88
American Railcar Industries,ARII,40.58,41.09,39.52,41.03,0.66,1.63,"65,635",42.52,34.30,1.60,3.90,5.42,-1.46
American River Bankshares,AMRB,15.62,15.69,15.50,15.50,-0.08,-0.49,"647",16.48,12.21,0.20,1.29,29.25,1.71
American Software Cl A,AMSWA,13.27,13.27,13.05,13.12,-0.09,-0.68,"66,373",13.69,9.00,0.44,3.35,19.01,12.81
American Superconductor,AMSC,6.71,6.83,6.65,6.71,0.01,0.15,"57,647",7.15,2.89,...,...,...,84.85
American Woodmark,AMWD,86.95,91.85,86.95,89.75,3.35,3.88,"332,918",148.44,78.75,...,...,23.93,-31.09
America's Car-Mart,CRMT,55.10,55.10,53.60,54.60,-0.05,-0.09,"50,857",56.80,33.05,...,...,13.09,22.28
AMERISAFE,AMSF,60.60,61.15,59.60,59.90,-0.35,-0.58,"128,679",67.82,51.20,0.88,1.47,23.58,-2.76
Ameris Bancorp,ABCB,55.95,56.35,55.85,56.05,0.15,0.27,"193,909",59.05,41.05,0.40,0.71,26.69,16.29
AmeriServ Financial,ASRV,4.24,4.30,4.20,4.28,0.08,1.79,"53,708",4.40,3.80,0.08,1.87,21.38,3.01
Amgen,AMGN,176.51,177.34,174.69,176.30,1.65,0.94,"3,238,818",201.23,152.16,5.28,2.99,58.18,1.38
Amicus Therapeutics,FOLD,16.61,16.91,16.45,16.74,0.18,1.09,"3,436,198",17.40,7.46,...,...,...,16.33
Amkor Technology,AMKR,8.81,8.81,8.61,8.70,-0.16,-1.81,"739,446",12.35,8.19,...,...,7.44,-13.43
Amphastar Pharmaceuticals,AMPH,16.64,16.81,16.32,16.63,0.41,2.53,"245,431",20.45,14.40,...,...,...,-13.57
Amtech Systems,ASYS,8.72,9.08,8.57,8.82,0.08,0.92,"253,291",15.45,6.76,...,...,6.44,-12.41
AmTrust Financial Services,AFSI,13.90,14.00,13.58,13.76,0.33,2.46,"7,664,774",16.37,8.80,0.68,4.94,12.20,36.64
Amyris,AMRS,5.30,5.51,5.12,5.36,0.26,5.10,"816,533",7.30,1.86,...,...,...,42.93
Analog Devices,ADI,94.70,95.57,94.08,94.88,-0.16,-0.17,"2,994,328",98.38,76.07,1.92,2.02,45.40,6.57
Analogic,ALOG,84.05,84.05,83.65,83.75,...,...,"119,544",101.80,66.00,0.40,0.48,...,...
AnaptysBio,ANAB,89.61,90.57,86.56,87.57,-1.82,-2.04,"257,986",134.00,18.15,...,...,...,-13.06
Anchor Bancorp,ANCB,25.40,25.45,25.40,25.40,...,...,"2,459",25.50,23.70,...,...,37.27,2.42
Andersons,ANDE,32.55,32.65,32.05,32.30,-0.15,-0.46,"103,236",38.05,29.60,0.66,2.04,21.51,3.69
ANGI Homeservices,ANGI,14.03,14.23,13.93,14.13,0.09,0.64,"501,785",15.77,10.24,...,...,...,35.09
AngioDynamics,ANGO,19.87,20.16,19.73,20.08,0.31,1.57,"168,811",20.71,14.96,...,...,690.03,20.75
Anika Therapeutics,ANIK,39.30,39.49,38.68,38.94,-0.09,-0.23,"101,609",69.81,30.91,...,...,30.19,-27.77
ANI Pharmaceuticals,ANIP,64.91,64.91,64.05,64.43,-0.18,-0.28,"47,789",74.70,42.23,...,...,...,-0.03
Ansys,ANSS,164.32,165.95,163.25,164.93,0.35,0.21,"315,549",173.20,119.20,...,...,50.90,11.75
Apellis Pharmaceuticals,APLS,24.56,24.92,24.00,24.68,0.18,0.73,"338,824",32.00,12.45,...,...,...,13.73
Apogee Enterprises,APOG,42.31,42.45,42.02,42.40,0.25,0.59,"393,409",59.76,37.24,0.63,1.49,15.36,-7.28
Apollo Endosurgery,APEN,6.21,6.55,6.01,6.54,...,...,"9,148",8.50,3.55,...,...,...,16.79
AppFolio,APPF,57.75,58.10,57.30,57.80,0.20,0.35,"48,021",58.40,27.20,...,...,156.22,39.28
Appian Cl A,APPN,31.15,32.19,31.00,31.49,0.04,0.13,"465,924",43.26,14.60,...,...,...,0.03
Apple,AAPL,187.19,187.81,186.13,186.31,-0.68,-0.36,"17,481,483",190.37,142.20,2.92,1.57,17.98,10.09
Applied Genetic Technologies,AGTC,5.55,5.75,5.55,5.65,0.15,2.73,"33,747",6.05,3.25,...,...,...,56.94
Applied Materials,AMAT,50.29,50.46,48.53,49.51,-4.45,-8.25,"49,884,824",62.40,40.79,0.80,1.62,18.68,-3.15
Applied Optoelectronics,AAOI,33.58,34.06,33.18,33.22,-0.52,-1.54,"669,933",103.41,22.54,...,...,11.99,-12.16
Approach Resources,AREX,2.73,2.78,2.69,2.75,0.01,0.36,"441,733",4.21,2.19,...,...,11.96,-7.09
Apptio Cl A,APTI,31.20,31.84,30.84,31.73,0.40,1.28,"584,922",33.28,15.05,...,...,...,34.91
Aptevo Therapeutics,APVO,5.95,6.09,5.60,5.67,-0.27,-4.55,"305,242",6.35,1.15,...,...,...,33.73
Aquinox Pharmaceuticals,AQXP,13.10,13.23,12.49,12.68,-0.39,-2.98,"168,985",16.90,10.02,...,...,...,7.82
Aralez Pharmaceuticals,ARLZ,0.44,0.45,0.41,0.42,-0.03,-6.17,"1,359,695",2.98,0.38,...,...,...,-70.77
Aratana Therapeutics,PETX,5.58,5.59,5.26,5.34,-0.23,-4.13,"359,879",7.67,3.67,...,...,...,1.52
Arbutus Biopharma,ABUS,6.35,6.45,6.05,6.10,-0.30,-4.69,"127,731",8.25,3.20,...,...,...,20.79
ArcBest,ARCB,48.45,48.85,47.70,47.75,-0.60,-1.24,"263,572",49.70,17.70,0.32,0.67,16.47,33.57
Arch Capital Group,ACGL,78.51,78.80,78.19,78.67,-0.15,-0.19,"429,570",102.60,77.12,...,...,23.77,-13.33
Arcturus Therapeutics,ARCT,6.17,6.20,6.02,6.09,-0.08,-1.30,"10,657",15.19,4.78,...,...,...,-23.40
Ardelyx,ARDX,5.75,5.90,5.70,5.80,0.05,0.87,"139,249",8.65,4.05,...,...,...,-12.12
Arena Pharmaceuticals,ARNA,47.50,47.64,45.51,45.53,-1.76,-3.72,"858,536",47.64,12.20,...,...,...,34.03
arGEN-X ADR,ARGX,94.66,95.67,93.17,94.53,0.04,0.04,"143,499",99.99,19.00,...,...,...,49.71
ARK Restaurants,ARKR,26.00,27.10,26.00,26.70,0.29,1.10,"6,670",29.49,21.75,1.00,3.75,25.92,-1.22
ARMO Biosciences,ARMO,49.82,49.90,49.79,49.87,0.07,0.14,"406,865",57.19,25.10,...,...,...,...
Arotech,ARTX,3.75,3.80,3.66,3.75,0.02,0.67,"162,620",4.35,2.70,...,...,18.75,5.63
ArQule,ARQL,3.32,3.56,3.23,3.39,-0.24,-6.61,"1,570,021",3.64,0.94,...,...,...,105.45
Array BioPharma,ARRY,15.78,16.09,15.64,15.75,...,...,"1,784,181",18.78,7.15,...,...,...,23.05
ARRIS International,ARRS,26.57,26.70,26.31,26.35,-0.23,-0.87,"1,227,823",30.38,22.60,...,...,41.83,2.57
Arrow Financial,AROW,37.90,37.90,37.30,37.65,-0.05,-0.13,"18,823",38.60,29.81,1.00,2.66,16.85,10.90
Arrowhead Pharmaceuticals,ARWR,9.66,10.38,9.52,10.00,0.47,4.93,"2,023,300",10.38,1.42,...,...,...,171.74
Arsanis,ASNS,19.75,20.00,18.93,19.28,-0.37,-1.88,"21,260",28.69,10.40,...,...,...,51.10
Artesian Resources Cl A,ARTNA,37.07,37.49,36.61,36.74,-0.07,-0.19,"19,371",43.22,32.00,0.95,2.60,23.86,-4.72
Ascena Retail Group,ASNA,3.06,3.28,3.05,3.20,0.17,5.61,"3,578,808",3.34,1.67,...,...,...,36.17
Ascendis Pharma ADR,ASND,66.81,68.00,65.71,66.29,-0.63,-0.94,"66,773",70.50,21.95,...,...,...,65.48
Ascent Capital Group Series A,ASCMA,2.37,2.41,2.33,2.34,-0.02,-0.85,"47,798",17.84,2.11,...,...,...,-79.63
A. Schulman,SHLM,44.15,44.45,44.05,44.30,0.30,0.68,"300,826",44.50,25.00,0.82,1.85,34.88,18.93
Asia Pacific Wire&Cable,APWC,2.55,2.55,2.52,2.52,0.02,1.00,"10,467",3.10,2.25,...,...,4.01,-8.18
Aslan Pharmaceuticals ADR,ASLN,6.20,6.50,6.19,6.19,-0.02,-0.36,"86,375",6.83,5.08,...,...,...,...
ASML Holding,ASML,200.79,201.15,196.68,197.34,-5.04,-2.49,"940,941",216.00,126.03,1.69,0.86,...,13.53
Aspen Technology,AZPN,94.25,94.83,93.31,93.99,0.15,0.16,"428,014",95.08,53.51,...,...,41.96,41.98
Asta Funding,ASFI,3.60,3.70,3.55,3.55,-0.07,-2.06,"757",11.50,3.25,...,...,...,-52.67
Astec Industries,ASTE,58.11,59.32,58.05,58.97,1.07,1.85,"120,570",64.80,45.70,0.40,0.68,32.05,0.80
Astronics,ATRO,35.90,35.93,35.53,35.86,0.09,0.25,"64,035",49.45,23.95,...,...,94.37,-13.53
AstroNova,ALOT,19.64,19.75,19.55,19.65,0.10,0.51,"10,381",19.90,11.00,0.28,1.42,40.94,41.88
ATA ADR,ATAI,5.14,5.14,5.14,5.14,0.04,0.78,"211",6.62,3.40,...,...,...,11.26
Atara Biotherapeutics,ATRA,48.15,50.84,47.80,50.05,2.15,4.49,"922,220",50.84,11.80,...,...,...,176.52
athenahealth,ATHN,149.50,150.55,148.65,150.01,0.58,0.39,"218,349",158.66,111.61,...,...,71.43,12.76
Athenex,ATNX,16.90,17.07,16.70,17.00,...,...,"217,269",20.79,11.21,...,...,...,6.92
Atlantic American,AAME,2.77,2.77,2.75,2.75,...,...,"1,474",4.00,2.65,0.02,0.73,...,-19.12
Atlantica Yield,AY,19.49,19.71,19.45,19.60,0.12,0.62,"268,603",25.99,18.00,1.24,6.33,...,-7.59
Atlantic Capital Bancshares,ACBI,20.85,20.85,20.45,20.50,-0.25,-1.20,"91,767",20.90,15.20,...,...,...,16.48
Atlantic Coast Financial,ACFC,10.85,10.93,10.82,10.87,-0.02,-0.18,"32,331",11.21,7.05,...,...,54.35,15.27
Atlanticus Holdings,ATLC,2.00,2.00,2.00,2.00,-0.01,-0.49,"1,166",2.76,1.95,...,...,...,-16.66
Atlas Air Worldwide Holdings,AAWW,69.25,69.75,68.90,69.20,-0.05,-0.07,"130,508",70.00,46.30,...,...,8.69,17.99
Atlas Financial Holdings,AFH,10.80,10.97,10.75,10.75,-0.05,-0.46,"39,869",21.50,9.90,...,...,...,-47.69
Atlassian Cl A,TEAM,61.84,63.56,61.66,63.40,1.76,2.86,"940,271",66.00,32.58,...,...,...,39.28
ATN International,ATNI,52.32,52.48,51.02,51.30,-1.08,-2.06,"55,664",71.25,49.50,0.68,1.33,43.11,-7.17
AtriCure,ATRC,24.00,24.25,23.78,24.08,0.08,0.33,"160,648",25.18,14.88,...,...,...,32.02
Atrion,ATRI,596.00,596.00,593.00,594.45,-2.40,-0.40,"3,740",694.00,516.85,4.80,0.81,31.42,-5.73
aTyr Pharma,LIFE,0.99,1.00,0.94,0.95,-0.03,-2.56,"998,030",6.50,0.80,...,...,...,-72.86
Auburn National Bancorp,AUBN,42.85,43.30,42.85,42.90,-1.49,-3.35,"3,246",48.95,33.22,0.96,2.24,19.15,10.29
Audentes Therapeutics,BOLD,41.53,41.53,37.48,38.24,-3.15,-7.61,"1,087,306",42.61,13.90,...,...,...,22.37
AudioCodes,AUDC,7.15,7.28,7.15,7.20,0.04,0.56,"27,700",8.43,5.87,...,...,45.00,-2.17
Aurinia Pharmaceuticals,AUPH,6.11,6.24,6.00,6.06,-0.05,-0.82,"830,092",7.68,4.41,...,...,...,33.77
Autodesk,ADSK,136.62,139.66,136.25,138.85,2.33,1.71,"1,644,323",141.26,99.22,...,...,...,32.45
Automatic Data Processing,ADP,128.26,129.25,127.67,128.91,0.92,0.72,"1,629,960",129.51,97.89,2.76,2.14,32.31,10.00
Avadel Pharmaceuticals ADR,AVDL,6.98,7.09,6.91,6.98,...,...,"206,115",11.93,6.17,...,...,10.25,-14.88
AVEO Pharmaceuticals,AVEO,2.12,2.18,2.12,2.16,0.03,1.41,"800,371",4.24,0.63,...,...,...,-22.58
AV Homes,AVHI,17.00,17.48,16.75,17.40,0.50,2.96,"91,481",20.50,14.65,...,...,...,4.50
Aviat Networks,AVNW,18.87,18.89,18.10,18.75,0.21,1.13,"10,994",19.97,12.90,...,...,1875.00,23.60
Avid Technology,AVID,4.99,5.01,4.95,4.98,0.02,0.40,"126,274",7.65,3.99,...,...,...,-7.61
Avis Budget Group,CAR,44.61,44.94,41.85,42.00,-2.75,-6.15,"2,701,505",50.88,20.71,...,...,9.25,-4.28
Avnet,AVT,39.10,39.23,38.86,39.05,-0.13,-0.33,"419,408",44.85,35.67,0.76,1.95,...,-1.44
Aware,AWRE,4.04,4.05,4.00,4.05,0.05,1.25,"1,200",5.40,3.70,...,...,202.50,-10.00
Axcelis Technologies,ACLS,22.05,22.05,20.95,21.05,-1.35,-6.03,"382,990",37.05,18.60,...,...,5.45,-26.66
Axon Enterprise,AAXN,57.52,58.47,57.01,57.95,0.83,1.45,"1,491,978",58.47,20.57,...,...,231.80,118.68
Axovant Sciences,AXON,1.24,1.32,1.21,1.30,0.07,5.69,"748,328",27.98,1.02,...,...,...,-75.33
Axsome Therapeutics,AXSM,3.45,3.48,3.40,3.45,-0.05,-1.43,"75,606",6.45,2.05,...,...,...,-38.39
AXT,AXTI,6.65,6.65,6.35,6.40,-0.25,-3.76,"201,221",10.75,5.80,...,...,20.65,-26.44
Baidu ADR,BIDU,262.38,264.67,251.58,253.01,-26.67,-9.54,"15,725,488",284.22,173.52,...,...,25.21,8.03
